iter	Passed	Remaining
0	1	170
1	2	146
2	4	134
3	5	121
4	6	116
5	7	113
6	8	111
7	9	109
8	10	107
9	11	105
10	12	100
11	13	99
12	14	98
13	15	97
14	17	96
15	18	95
16	18	92
17	19	89
18	20	87
19	21	85
20	22	82
21	22	81
22	24	80
23	25	80
24	26	79
25	27	78
26	28	77
27	29	76
28	30	75
29	32	75
30	33	73
31	34	72
32	35	71
33	36	71
34	37	70
35	38	68
36	39	67
37	40	65
38	41	65
39	42	64
40	43	63
41	44	61
42	45	60
43	46	59
44	47	58
45	48	57
46	50	56
47	50	55
48	51	53
49	53	53
50	54	51
51	55	50
52	56	49
53	57	48
54	57	47
55	58	46
56	59	45
57	60	44
58	61	43
59	63	42
60	64	41
61	65	40
62	66	39
63	67	38
64	68	36
65	70	36
66	71	35
67	71	33
68	72	32
69	74	31
70	74	30
71	75	29
72	76	28
73	77	27
74	78	26
75	79	25
76	80	23
77	81	22
78	81	21
79	83	20
80	84	19
81	85	18
82	86	17
83	87	16
84	88	15
85	89	14
86	90	13
87	91	12
88	92	11
89	93	10
90	94	9
91	96	8
92	97	7
93	98	6
94	99	5
95	100	4
96	100	3
97	101	2
98	102	1
99	103	0
